iter	Passed	Remaining
165	719	3616
166	722	3605
167	726	3595
168	729	3585
169	731	3573
170	735	3563
171	738	3554
172	741	3543
173	744	3533
174	748	3527
175	751	3517
176	754	3506
177	756	3495
178	759	3485
179	763	3476
180	766	3468
181	769	3457
182	772	3447
183	775	3437
184	778	3428
185	781	3420
186	784	3411
187	787	3401
188	790	3390
189	792	3380
190	795	3369
191	798	3358
192	800	3348
193	803	3339
194	806	3328
195	808	3318
196	813	3314
197	816	3306
198	819	3298
199	822	3291
200	825	3282
201	828	3274
202	831	3266
203	835	3258
204	837	3249
205	841	3242
206	844	3235
207	848	3228
208	851	3221
209	854	3213
210	857	3206
211	860	3199
212	864	3192
213	867	3185
214	870	3178
215	874	3174
216	878	3168
217	881	3161
218	884	3153
219	887	3144
220	889	3136
221	892	3127
222	895	3119
223	898	3111
224	900	3103
225	903	3094
226	907	3089
227	910	3082
228	913	3075
229	916	3067
230	919	3060
231	922	3052
232	925	3045
233	927	3037
234	930	3030
235	933	3023
236	937	3016
237	940	3011
238	943	3004
239	946	2996
240	949	2989
241	951	2980
242	954	2973
243	957	2965
244	960	2959
245	963	2952
246	966	2945
247	969	2940
248	973	2935
249	976	2928
250	978	2921
251	981	2914
252	984	2907
253	987	2899
254	989	2892
255	992	2885
256	995	2879
257	998	2872
258	1002	2867
259	1005	2861
260	1008	2856
261	1011	2850
262	1014	2844
263	1017	2837
264	1020	2831
265	1024	2825
266	1027	2819
267	1030	2814
268	1034	2812
269	1038	2809
270	1043	2806
271	1047	2803
272	1051	2800
273	1055	2796
274	1059	2792
275	1063	2789
276	1067	2787
277	1071	2782
278	1075	2779
279	1080	2779
280	1086	2779
281	1090	2776
282	1095	2775
283	1101	2776
284	1105	2774
285	1109	2770
286	1114	2768
287	1118	2765
288	1122	2762
289	1128	2762
290	1133	2760
291	1137	2758
292	1141	2754
293	1145	2750
294	1149	2747
295	1154	2745
296	1158	2741
297	1163	2741
298	1167	2736
299	1170	2730
300	1174	2727
301	1179	2724
302	1183	2722
303	1187	2718
304	1192	2716
305	1197	2715
306	1201	2711
307	1205	2708
308	1209	2705
309	1214	2704
310	1219	2702
311	1225	2703
312	1230	2700
313	1233	2695
314	1237	2691
315	1240	2685
316	1243	2679
317	1247	2675
318	1250	2670
319	1255	2667
320	1259	2663
321	1262	2657
322	1265	2651
323	1268	2645
324	1271	2639
325	1274	2634
326	1277	2628
327	1279	2622
328	1282	2615
329	1286	2611
330	1289	2606
331	1292	2601
332	1295	2595
333	1298	2589
334	1301	2584
335	1305	2579
336	1308	2573
337	1311	2568
338	1314	2563
339	1318	2559
340	1321	2554
341	1325	2549
342	1329	2545
343	1332	2541
344	1335	2535
345	1338	2529
346	1341	2523
347	1344	2518
348	1347	2513
349	1351	2509
350	1354	2505
351	1358	2500
352	1361	2495
353	1364	2490
354	1367	2484
355	1370	2480
356	1374	2475
357	1377	2470
358	1380	2465
359	1384	2461
360	1387	2456
361	1390	2450
362	1393	2445
363	1397	2441
364	1400	2437
365	1404	2433
366	1407	2428
367	1411	2424
368	1415	2420
369	1419	2417
370	1423	2413
371	1427	2410
372	1432	2407
373	1436	2404
374	1440	2400
375	1444	2396
376	1447	2392
377	1451	2388
378	1455	2384
379	1459	2382
380	1463	2377
381	1468	2375
382	1485	2392
383	1489	2389
384	1493	2386
385	1499	2384
386	1503	2381
387	1508	2379
388	1514	2378
389	1518	2374
390	1522	2371
391	1526	2368
392	1531	2365
393	1535	2362
394	1541	2361
395	1545	2357
396	1549	2353
397	1553	2350
398	1558	2346
399	1563	2344
400	1569	2343
401	1573	2341
402	1577	2337
403	1582	2333
404	1586	2330
405	1590	2326
406	1594	2323
407	1599	2321
408	1605	2319
409	1609	2315
410	1613	2312
411	1617	2308
412	1621	2305
413	1626	2302
414	1631	2299
415	1637	2299
416	1641	2295
417	1647	2293
418	1650	2288
419	1654	2284
420	1659	2282
421	1664	2279
422	1668	2275
423	1671	2271
424	1676	2268
425	1680	2264
426	1685	2261
427	1689	2257
428	1694	2255
429	1699	2252
